# mapping_set_id: https://w3id.org/commons/ols/mappings/hp.ols.sssom.tsv
# mapping_set_group: ols_sssom_extracts
# mapping_set_confidence: '0.7'
# other:
#   mapping_set_source: https://www.ebi.ac.uk/ols4/ontologies/hp
#   local_id: hp.ols
# local_name: hp.ols.sssom.tsv
# curie_map:
#   semapv: https://w3id.org/semapv/vocab/
#   owl: http://www.w3.org/2002/07/owl#
#   skos: http://www.w3.org/2004/02/skos/core#
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   chebi: http://purl.obolibrary.org/obo/chebi/
#   inchi: 'https://bioregistry.io/inchi:'
#   inchikey: 'https://bioregistry.io/inchikey:'
#   smiles: 'https://bioregistry.io/smiles:'
#   HP: http://purl.obolibrary.org/obo/HP_
#   UMLS: http://linkedlifedata.com/resource/umls/id/
#   MSH: https://meshb.nlm.nih.gov/record/ui?ui=
#   SNOMEDCT_US: http://snomed.info/id/
#   MEDDRA: http://bioportal.bioontology.org/ontologies/MEDDRA?p=classes&conceptid=
#   NCIT: http://purl.obolibrary.org/obo/NCIT_
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   MP: http://purl.obolibrary.org/obo/MP_
#   MPATH: http://purl.obolibrary.org/obo/MPATH_
#   PMID: http://www.ncbi.nlm.nih.gov/pubmed/
#   ORPHA: http://www.orpha.net/consor/cgi-bin/OC_Exp.php?Lng=EN&Expert=
#   SNOMED_CT: http://snomed.info/id/
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label
HP:0000001	oboInOwl:hasDbXref	UMLS:C0444868	semapv:UnspecifiedMatching	All	
HP:0000002	oboInOwl:hasDbXref	UMLS:C4025901	semapv:UnspecifiedMatching	Abnormalita tělesné výšky	
HP:0000003	oboInOwl:hasDbXref	MSH:D021782	semapv:UnspecifiedMatching	Displasia renal multiquística	
HP:0000003	oboInOwl:hasDbXref	SNOMEDCT_US:204962002	semapv:UnspecifiedMatching	Displasia renal multiquística	
HP:0000003	oboInOwl:hasDbXref	SNOMEDCT_US:82525005	semapv:UnspecifiedMatching	Displasia renal multiquística	
HP:0000003	oboInOwl:hasDbXref	UMLS:C3714581	semapv:UnspecifiedMatching	Displasia renal multiquística	
HP:0000005	oboInOwl:hasDbXref	UMLS:C1708511	semapv:UnspecifiedMatching	Kalıtım Biçimi	
HP:0000006	oboInOwl:hasDbXref	SNOMEDCT_US:263681008	semapv:UnspecifiedMatching	Autosomaal dominante overerving	
HP:0000006	oboInOwl:hasDbXref	UMLS:C0443147	semapv:UnspecifiedMatching	Autosomaal dominante overerving	
HP:0000007	oboInOwl:hasDbXref	SNOMEDCT_US:258211005	semapv:UnspecifiedMatching	Autosomaal recessieve overerving	
HP:0000007	oboInOwl:hasDbXref	UMLS:C0441748	semapv:UnspecifiedMatching	Autosomaal recessieve overerving	
HP:0000007	oboInOwl:hasDbXref	UMLS:C4020899	semapv:UnspecifiedMatching	Autosomaal recessieve overerving	
HP:0000008	oboInOwl:hasDbXref	UMLS:C4025900	semapv:UnspecifiedMatching	Abnormal morphology of female internal genitalia	
HP:0000009	oboInOwl:hasDbXref	UMLS:C3806583	semapv:UnspecifiedMatching	Anomalie fonctionnelle de la vessie	
HP:0000010	oboInOwl:hasDbXref	SNOMEDCT_US:197927001	semapv:UnspecifiedMatching	Infecciones del tracto urinario a repetición	
HP:0000010	oboInOwl:hasDbXref	UMLS:C0262655	semapv:UnspecifiedMatching	Infecciones del tracto urinario a repetición	
HP:0000011	oboInOwl:hasDbXref	MSH:D001750	semapv:UnspecifiedMatching	Neurogene blaas	
HP:0000011	oboInOwl:hasDbXref	SNOMEDCT_US:397732007	semapv:UnspecifiedMatching	Neurogene blaas	
HP:0000011	oboInOwl:hasDbXref	SNOMEDCT_US:398064005	semapv:UnspecifiedMatching	Neurogene blaas	
HP:0000011	oboInOwl:hasDbXref	UMLS:C0005697	semapv:UnspecifiedMatching	Neurogene blaas	
HP:0000012	oboInOwl:hasDbXref	SNOMEDCT_US:75088002	semapv:UnspecifiedMatching	Nucení na močení	
HP:0000012	oboInOwl:hasDbXref	UMLS:C0085606	semapv:UnspecifiedMatching	Nucení na močení	
HP:0000012	oboInOwl:hasDbXref	UMLS:C3544092	semapv:UnspecifiedMatching	Nucení na močení	
HP:0000012	oboInOwl:hasDbXref	UMLS:C4020898	semapv:UnspecifiedMatching	Nucení na močení	
HP:0000013	oboInOwl:hasDbXref	SNOMEDCT_US:35850006	semapv:UnspecifiedMatching	Hipoplasia del útero	
HP:0000013	oboInOwl:hasDbXref	UMLS:C0266399	semapv:UnspecifiedMatching	Hipoplasia del útero	
HP:0000014	oboInOwl:hasDbXref	UMLS:C0149632	semapv:UnspecifiedMatching	Abnormalita močového měchýře	
HP:0000015	oboInOwl:hasDbXref	MSH:C562406	semapv:UnspecifiedMatching	Blaas diverticulum	
HP:0000015	oboInOwl:hasDbXref	SNOMEDCT_US:197866008	semapv:UnspecifiedMatching	Blaas diverticulum	
HP:0000015	oboInOwl:hasDbXref	UMLS:C0156273	semapv:UnspecifiedMatching	Blaas diverticulum	
HP:0000016	oboInOwl:hasDbXref	MSH:D016055	semapv:UnspecifiedMatching	Retence moči	
HP:0000016	oboInOwl:hasDbXref	SNOMEDCT_US:130951007	semapv:UnspecifiedMatching	Retence moči	
HP:0000016	oboInOwl:hasDbXref	SNOMEDCT_US:267064002	semapv:UnspecifiedMatching	Retence moči	
HP:0000016	oboInOwl:hasDbXref	SNOMEDCT_US:449491000124101	semapv:UnspecifiedMatching	Retence moči	
HP:0000016	oboInOwl:hasDbXref	UMLS:C0080274	semapv:UnspecifiedMatching	Retence moči	
HP:0000017	oboInOwl:hasDbXref	MSH:D053158	semapv:UnspecifiedMatching	Nicturia	
HP:0000017	oboInOwl:hasDbXref	SNOMEDCT_US:139394000	semapv:UnspecifiedMatching	Nicturia	
HP:0000017	oboInOwl:hasDbXref	UMLS:C0028734	semapv:UnspecifiedMatching	Nicturia	
HP:0000019	oboInOwl:hasDbXref	SNOMEDCT_US:5972002	semapv:UnspecifiedMatching	Dificultad para la micción	
HP:0000019	oboInOwl:hasDbXref	UMLS:C0152032	semapv:UnspecifiedMatching	Dificultad para la micción	
HP:0000020	oboInOwl:hasDbXref	MSH:D014549	semapv:UnspecifiedMatching	Incontinence urinaire	
HP:0000020	oboInOwl:hasDbXref	SNOMEDCT_US:165232002	semapv:UnspecifiedMatching	Incontinence urinaire	
HP:0000020	oboInOwl:hasDbXref	UMLS:C0042024	semapv:UnspecifiedMatching	Incontinence urinaire	
HP:0000021	oboInOwl:hasDbXref	MSH:C536139	semapv:UnspecifiedMatching	Aşırı büyük mesane	
HP:0000021	oboInOwl:hasDbXref	UMLS:C1855311	semapv:UnspecifiedMatching	Aşırı büyük mesane	
HP:0000022	oboInOwl:hasDbXref	UMLS:C4025899	semapv:UnspecifiedMatching	Abnormal male internal genitalia morphology	
HP:0000023	oboInOwl:hasDbXref	MEDDRA:10022016	semapv:UnspecifiedMatching	Hernia inguinal	
HP:0000023	oboInOwl:hasDbXref	MSH:D006552	semapv:UnspecifiedMatching	Hernia inguinal	
HP:0000023	oboInOwl:hasDbXref	SNOMEDCT_US:396232000	semapv:UnspecifiedMatching	Hernia inguinal	
HP:0000023	oboInOwl:hasDbXref	UMLS:C0019294	semapv:UnspecifiedMatching	Hernia inguinal	
HP:0000024	oboInOwl:hasDbXref	MSH:D011472	semapv:UnspecifiedMatching	Prostatit	
HP:0000024	oboInOwl:hasDbXref	SNOMEDCT_US:9713002	semapv:UnspecifiedMatching	Prostatit	
HP:0000024	oboInOwl:hasDbXref	UMLS:C0033581	semapv:UnspecifiedMatching	Prostatit	
HP:0000025	oboInOwl:hasDbXref	UMLS:C4025898	semapv:UnspecifiedMatching	Anomalie fonctionnelle des organes génitaux internes masculins	
HP:0000026	oboInOwl:hasDbXref	MSH:D005058	semapv:UnspecifiedMatching	Erkek hipogonadizmi	
HP:0000026	oboInOwl:hasDbXref	SNOMEDCT_US:48723006	semapv:UnspecifiedMatching	Erkek hipogonadizmi	
HP:0000026	oboInOwl:hasDbXref	UMLS:C0151721	semapv:UnspecifiedMatching	Erkek hipogonadizmi	
HP:0000027	oboInOwl:hasDbXref	MSH:D053713	semapv:UnspecifiedMatching	Azoospermia	
HP:0000027	oboInOwl:hasDbXref	SNOMEDCT_US:425558002	semapv:UnspecifiedMatching	Azoospermia	
HP:0000027	oboInOwl:hasDbXref	SNOMEDCT_US:48188009	semapv:UnspecifiedMatching	Azoospermia	
HP:0000027	oboInOwl:hasDbXref	UMLS:C0004509	semapv:UnspecifiedMatching	Azoospermia	
HP:0000028	oboInOwl:hasDbXref	MSH:D003456	semapv:UnspecifiedMatching	Criptorquidia	
HP:0000028	oboInOwl:hasDbXref	SNOMEDCT_US:204878001	semapv:UnspecifiedMatching	Criptorquidia	
HP:0000028	oboInOwl:hasDbXref	UMLS:C0010417	semapv:UnspecifiedMatching	Criptorquidia	
HP:0000029	oboInOwl:hasDbXref	SNOMEDCT_US:17585008	semapv:UnspecifiedMatching	Atrofia testicular	
HP:0000029	oboInOwl:hasDbXref	UMLS:C0156312	semapv:UnspecifiedMatching	Atrofia testicular	
HP:0000030	oboInOwl:hasDbXref	NCIT:C3754	semapv:UnspecifiedMatching	Gonadoblastom varlete	Gonadoblastoma
HP:0000030	oboInOwl:hasDbXref	UMLS:C1515283	semapv:UnspecifiedMatching	Gonadoblastom varlete	
HP:0000031	oboInOwl:hasDbXref	MSH:D004823	semapv:UnspecifiedMatching	Epididimit	
HP:0000031	oboInOwl:hasDbXref	SNOMEDCT_US:31070006	semapv:UnspecifiedMatching	Epididimit	
HP:0000031	oboInOwl:hasDbXref	UMLS:C0014534	semapv:UnspecifiedMatching	Epididimit	
HP:0000032	oboInOwl:hasDbXref	UMLS:C4025897	semapv:UnspecifiedMatching	Abnormal male external genitalia morphology	
HP:0000033	oboInOwl:hasDbXref	UMLS:C4021823	semapv:UnspecifiedMatching	Ambiguous genitalia, male	
HP:0000034	oboInOwl:hasDbXref	MSH:D006848	semapv:UnspecifiedMatching	Hidrocele testicular	
HP:0000034	oboInOwl:hasDbXref	SNOMEDCT_US:26614003	semapv:UnspecifiedMatching	Hidrocele testicular	
HP:0000034	oboInOwl:hasDbXref	SNOMEDCT_US:386152007	semapv:UnspecifiedMatching	Hidrocele testicular	
HP:0000034	oboInOwl:hasDbXref	SNOMEDCT_US:55434001	semapv:UnspecifiedMatching	Hidrocele testicular	
HP:0000034	oboInOwl:hasDbXref	UMLS:C1720771	semapv:UnspecifiedMatching	Hidrocele testicular	
HP:0000035	oboInOwl:hasDbXref	SNOMEDCT_US:55631001	semapv:UnspecifiedMatching	Abnormal testis morphology	
HP:0000035	oboInOwl:hasDbXref	UMLS:C0266423	semapv:UnspecifiedMatching	Abnormal testis morphology	
HP:0000036	oboInOwl:hasDbXref	UMLS:C4025896	semapv:UnspecifiedMatching	Abnormal penis morphology	
HP:0000037	oboInOwl:hasDbXref	MSH:D058490	semapv:UnspecifiedMatching	Erkek yalancı hermafroditizmi	
HP:0000037	oboInOwl:hasDbXref	SNOMEDCT_US:111332007	semapv:UnspecifiedMatching	Erkek yalancı hermafroditizmi	
HP:0000037	oboInOwl:hasDbXref	UMLS:C0238395	semapv:UnspecifiedMatching	Erkek yalancı hermafroditizmi	
HP:0000039	oboInOwl:hasDbXref	SNOMEDCT_US:406477003	semapv:UnspecifiedMatching	Epispadias	
HP:0000039	oboInOwl:hasDbXref	UMLS:C0563449	semapv:UnspecifiedMatching	Epispadias	
HP:0000040	oboInOwl:hasDbXref	SNOMEDCT_US:88673001	semapv:UnspecifiedMatching	Dlouhý penis	
HP:0000040	oboInOwl:hasDbXref	UMLS:C0269011	semapv:UnspecifiedMatching	Dlouhý penis	
HP:0000041	oboInOwl:hasDbXref	SNOMEDCT_US:4287008	semapv:UnspecifiedMatching	Chorda	
HP:0000041	oboInOwl:hasDbXref	UMLS:C0221182	semapv:UnspecifiedMatching	Chorda	
HP:0000042	oboInOwl:hasDbXref	UMLS:C1848869	semapv:UnspecifiedMatching	Absent external genitalia	
HP:0000044	oboInOwl:hasDbXref	MSH:D007006	semapv:UnspecifiedMatching	Gonadotrophines basses (hypogonadisme secondaire)	
HP:0000044	oboInOwl:hasDbXref	SNOMEDCT_US:33927004	semapv:UnspecifiedMatching	Gonadotrophines basses (hypogonadisme secondaire)	
HP:0000044	oboInOwl:hasDbXref	UMLS:C0271623	semapv:UnspecifiedMatching	Gonadotrophines basses (hypogonadisme secondaire)	
